name,channel_id
Ada Derana,UCCK3OZi788Ok44K97WAhLKQ
Hiru News,UCckltLEhFLv8Xz_lQhYfwmg
Newsfirst Sri Lanka,UCgnFSj7jQffD5V5m05j4dPw
Sirasa TV,UCn0XmAUFv6d2tofMFEesSNw
Sri Lanka Rupavahini,UCT83ymyAGm7Gnk_4ifxjxIA
ITN News,UCV66ictLH2DZehG1tH0G5KA
Swarnavahini,UCaIc6SgS90ud_RgMSC6hW_w
Siyatha TV,UCc30sTBdN9LRSxEuHaXV_bQ
Daily Mirror Online,UCJruLt_Bj36jL-kVaw2jgTg
TV Derana,UCRDDfbYPHX_GUJ4lcQYTc8A
Nethra TV,UC6b6XrsNOxQiS-FdfE8-Avw
Channel Eye (Rupavahini English/Sports),UC1CkcuwxCW_dIchuR0tTCJw
TV 1 Sri Lanka,UCoQXpCWew0Q3qz6buZYOAFg
