videoId,channelId,channelTitle,title_clean,lang,decayed_velocity,ts_hour,topic_id,platform
--cfKVXgIIQ,UCaIc6SgS90ud_RgMSC6hW_w,Swarnavahini TV,Pirimi Lamai (පිරිමි ළමයි) | Episode 169 | 09th July 2025 | Swarnavahini,en,0.0,2025-09-19 13:00:00+00:00,14,youtube
-0i-0-zo41U,UCT83ymyAGm7Gnk_4ifxjxIA,Sri Lanka Rupavahini,ගැහැණියක් මයි තවත් ගැහැණියක් විනාශ කරන්නේ,,5.850971766179186e-40,2025-09-19 13:00:00+00:00,0,youtube
-11vaM__dZs,UCaIc6SgS90ud_RgMSC6hW_w,Swarnavahini TV,Maa (මා) | Episode 55 | 16th July 2025 | Swarnavahini,en,0.0,2025-09-19 13:00:00+00:00,29,youtube
-28O9Nl4bmg,UCV66ictLH2DZehG1tH0G5KA,ITN News,හිටපු කෘෂිකර්ම ඇමතිවරයෙකුගේ බල ප්‍රදේශයක පැවතුණු ගැටලුවක් ඇමති ලාල්කාන්ත හෙළිකරයි,,4.2281302997847785e-81,2025-09-19 13:00:00+00:00,52,youtube
-3dTjJZLGGY,UCCK3OZi788Ok44K97WAhLKQ,Ada Derana,🔴BREAKING NEWS | හිටපු ජනපති මහින්ද විජේරාම නිවසින් පිටව යයි,,1.7810304545741732e-33,2025-09-19 13:00:00+00:00,0,youtube
-4-y_Qwqxuw,UC6b6XrsNOxQiS-FdfE8-Avw,NethraTV,2025-08-28 | Nethra TV Tamil News 7.00 pm | நேத்ரா TV தமிழ் செய்தி இரவு நேர 7.00 pm,ta,3.4089361728019594e-114,2025-09-19 13:00:00+00:00,9,youtube
-4dSWrV403w,UC1CkcuwxCW_dIchuR0tTCJw,Channel Eye Rupavahini,2025-07-07 | Rupavahini English News | 9.00PM,en,0.0,2025-09-19 13:00:00+00:00,37,youtube
-5DRz1V6WLg,UCT83ymyAGm7Gnk_4ifxjxIA,Sri Lanka Rupavahini,Adaraniya Minisek | ආදරණීය මිනිසෙක් | Episode 05 - (2025-08-10) | Rupavahini TeleDrama,id,3.281971076892703e-209,2025-09-19 13:00:00+00:00,2,youtube
-6h83x4vVvQ,UCc30sTBdN9LRSxEuHaXV_bQ,Siyatha TV,ඉස්කෝලේ පන්ති කට්කරලා නළුවෙක් වුන හැටි 😁සෙනසුරාදා සහ ඉරිදා උදෑසන 11 සිට සියත tv තුළින්,,1.2608509191304089e-18,2025-09-19 13:00:00+00:00,52,youtube
-6wNXVRjziA,UCJruLt_Bj36jL-kVaw2jgTg,Daily Mirror Online,Five suspects arrested over suspected plot in Kollupitiya,en,3.1605515204510456e-49,2025-09-19 13:00:00+00:00,18,youtube
-7aCiqp8cSA,UCRDDfbYPHX_GUJ4lcQYTc8A,TV Derana,බැන්නා නම් මීට වඩා හොඳයි | Hithagannama Bari Kathawak,sw,3.2631049916562847e-18,2025-09-19 13:00:00+00:00,28,youtube
-7ubr2KIMCw,UCV66ictLH2DZehG1tH0G5KA,ITN News,පසුගිය පැය 24 දී පොලිස් මෙහෙයුම්වලින් 724 දෙනෙකු අත්අඩංගුවට,,1.376506768127203e-75,2025-09-19 13:00:00+00:00,27,youtube
-9DiPXWkf-0,UCc30sTBdN9LRSxEuHaXV_bQ,Siyatha TV,"""සින්ධු 💕"" අද රාත්‍රී 7.30 ට",,1.801175915601601e-80,2025-09-19 13:00:00+00:00,32,youtube
-A282a3r4wU,UC6b6XrsNOxQiS-FdfE8-Avw,NethraTV,2025-08-15 | Nethra TV Tamil News 7.00 pm | நேத்ரா TV தமிழ் செய்தி இரவு நேர 7.00 pm,ta,1.8660650899787783e-182,2025-09-19 13:00:00+00:00,9,youtube
-A3FKfWW4K4,UCgnFSj7jQffD5V5m05j4dPw,Newsfirst Sri Lanka,පුද්ගල චරිත වලට වඩා අපි හදන්නේ ප්‍රතිපත්තියක්.,,1.252043794058345e-60,2025-09-19 13:00:00+00:00,0,youtube
-AFtxdZ_5KA,UCckltLEhFLv8Xz_lQhYfwmg,Hiru News,ඈත එපිට ඉඳන් මහින්ද බලන්න තංගල්ලට ගලා එන ජනතාව - ''අපි ආදරේ කරන නායකතුමා බලන්න අපි පුත්තලමේ ඉඳන් ආවේ,,2.1650141332933796e-22,2025-09-19 13:00:00+00:00,44,youtube
-AIbzoQpl4U,UCV66ictLH2DZehG1tH0G5KA,ITN News,ITN News 2025-09-13 | 10.00 PM,en,1.0073530485415417e-29,2025-09-19 13:00:00+00:00,3,youtube
-BxRVPKa-uE,UCT83ymyAGm7Gnk_4ifxjxIA,Sri Lanka Rupavahini,SEAසෝ | Episode 53 | 2025-06-29 | Rupavahini TeleDrama,et,0.0,2025-09-19 13:00:00+00:00,42,youtube
-C6vctP9xcA,UCgnFSj7jQffD5V5m05j4dPw,Newsfirst Sri Lanka,ස්මාර්ට් ක්‍රිකට් වලට Sports Analytics!,en,1.0586556802991156e-40,2025-09-19 13:00:00+00:00,56,youtube
-CP41NQQFvQ,UC1CkcuwxCW_dIchuR0tTCJw,Channel Eye Rupavahini,2025-09-04 | Rupavahini English News | 9.00PM,en,2.089091982722406e-77,2025-09-19 13:00:00+00:00,37,youtube
-DKg8hjzZ1k,UCc30sTBdN9LRSxEuHaXV_bQ,Siyatha TV,ලංවිමෙන් ගෙදර යනවානම් ලක්ෂ 50 ක වන්දියක්,,2.5838236342116374e-114,2025-09-19 13:00:00+00:00,56,youtube
-DUj82bdXfk,UCV66ictLH2DZehG1tH0G5KA,ITN News,සුරැකෙමු මඟතොට වැඩසටහන දරුවන්ට ගොඩක් වැදගත්වන වැඩසටහනක් - කවිෂා සඳරේකා,,1.0219590542948758e-91,2025-09-19 13:00:00+00:00,56,youtube
-DZJlsWsEEg,UCc30sTBdN9LRSxEuHaXV_bQ,Siyatha TV,පහසුවෙන් දිනාගන්න තිබීම හා යන්තමින් දිනාගැනීම,,6.508267291678977e-19,2025-09-19 13:00:00+00:00,59,youtube
-DpIsZlhhDw,UCn0XmAUFv6d2tofMFEesSNw,Sirasa TV,Maayavi (මායාවී) | Episode 252 | 26th August 2025 | Sirasa TV,tl,2.941074695234756e-124,2025-09-19 13:00:00+00:00,12,youtube
